timePeriod,count
202010020000,5
202010030000,4
202010040000,0
202010050000,1
202010060000,6
202010070000,2
202010080000,10
202010090000,4
202010100000,1
202010110000,2
202010120000,3
202010130000,2
202010140000,3
202010150000,2
202010160000,1
202010170000,4
202010180000,3
202010190000,2
202010200000,7
202010210000,2
202010220000,5
202010230000,4
202010240000,4
202010250000,0
202010260000,3
202010270000,1
202010280000,1
202010290000,2
202010300000,1
202010310000,1
202008310000,2
202009010000,2
202009020000,3
202009030000,9
202009040000,0
202009050000,2
202009060000,2
202009070000,9
202009080000,3
202009090000,1
202009100000,1
202009110000,7
202009120000,1
202009130000,4
202009140000,2
202009150000,4
202009160000,3
202009170000,1
202009180000,3
202009190000,0
202009200000,2
202009210000,0
202009220000,0
202009230000,0
202009240000,0
202009250000,0
202009260000,0
202009270000,1
202009280000,1
202009290000,1
202009300000,0
202007310000,1
202008010000,1
202008020000,1
202008030000,0
202008040000,1
202008050000,0
202008060000,3
202008070000,1
202008080000,1
202008090000,0
202008100000,2
202008110000,2
202008120000,2
202008130000,1
202008140000,2
202008150000,1
202008160000,2
202008170000,1
202008180000,2
202008190000,3
202008200000,3
202008210000,3
202008220000,0
202008230000,2
202008240000,2
202008250000,2
202008260000,2
202008270000,5
202008280000,3
202008290000,3
202008300000,1
202006300000,2
202007010000,0
202007020000,2
202007030000,0
202007040000,1
202007050000,0
202007060000,1
202007070000,1
202007080000,7
202007090000,9
202007100000,3
202007110000,5
202007120000,3
202007130000,1
202007140000,1
202007150000,2
202007160000,3
202007170000,0
202007180000,1
202007190000,3
202007200000,0
202007210000,1
202007220000,3
202007230000,2
202007240000,6
202007250000,1
202007260000,1
202007270000,4
202007280000,3
202007290000,2
202007300000,0
202005300000,1
202005310000,0
202006010000,3
202006020000,0
202006030000,1
202006040000,3
202006050000,2
202006060000,1
202006070000,0
202006080000,1
202006090000,0
202006100000,0
202006110000,2
202006120000,1
202006130000,1
202006140000,0
202006150000,3
202006160000,1
202006170000,2
202006180000,2
202006190000,1
202006200000,1
202006210000,3
202006220000,2
202006230000,4
202006240000,1
202006250000,0
202006260000,2
202006270000,1
202006280000,0
202006290000,1
202004290000,1
202004300000,1
202005010000,2
202005020000,0
202005030000,3
202005040000,5
202005050000,2
202005060000,0
202005070000,1
202005080000,1
202005090000,1
202005100000,1
202005110000,0
202005120000,1
202005130000,7
202005140000,1
202005150000,5
202005160000,2
202005170000,1
202005180000,0
202005190000,0
202005200000,3
202005210000,4
202005220000,0
202005230000,1
202005240000,0
202005250000,1
202005260000,3
202005270000,6
202005280000,0
202005290000,4
202003290000,0
202003300000,1
202003310000,1
202004010000,1
202004020000,0
202004030000,1
202004040000,3
202004050000,5
202004060000,4
202004070000,2
202004080000,1
202004090000,3
202004100000,1
202004110000,2
202004120000,1
202004130000,6
202004140000,1
202004150000,0
202004160000,0
202004170000,0
202004180000,0
202004190000,0
202004200000,0
202004210000,2
202004220000,0
202004230000,1
202004240000,0
202004250000,0
202004260000,0
202004270000,0
202004280000,1
202002270000,0
202002280000,2
202002290000,4
202003010000,1
202003020000,2
202003030000,3
202003040000,2
202003050000,0
202003060000,1
202003070000,2
202003080000,0
202003090000,3
202003100000,0
202003110000,1
202003120000,2
202003130000,3
202003140000,2
202003150000,3
202003160000,0
202003170000,13
202003180000,2
202003190000,2
202003200000,4
202003210000,0
202003220000,3
202003230000,0
202003240000,0
202003250000,2
202003260000,0
202003270000,4
202003280000,1
202001270000,2
202001280000,11
202001290000,6
202001300000,6
202001310000,5
202002010000,4
202002020000,0
202002030000,1
202002040000,2
202002050000,2
202002060000,3
202002070000,3
202002080000,3
202002090000,1
202002100000,1
202002110000,4
202002120000,2
202002130000,3
202002140000,6
202002150000,1
202002160000,0
202002170000,18
202002180000,7
202002190000,0
202002200000,3
202002210000,2
202002220000,1
202002230000,0
202002240000,0
202002250000,3
202002260000,3
201912270000,3
201912280000,3
201912290000,1
201912300000,4
201912310000,3
202001010000,3
202001020000,2
202001030000,3
202001040000,5
202001050000,2
202001060000,4
202001070000,2
202001080000,1
202001090000,4
202001100000,5
202001110000,0
202001120000,7
202001130000,3
202001140000,2
202001150000,3
202001160000,0
202001170000,7
202001180000,4
202001190000,1
202001200000,3
202001210000,3
202001220000,3
202001230000,1
202001240000,2
202001250000,2
202001260000,1
201911260000,3
201911270000,4
201911280000,1
201911290000,9
201911300000,1
201912010000,3
201912020000,0
201912030000,4
201912040000,3
201912050000,7
